"0hr","2hr","6hr","12hr","24hr","48hr","72hr","Accession","Description","Condition","Key","Cluster"
0.171121530510969,0.0147164516239433,0.069235771244738,0.161196481741333,0.188370580786475,0.148225469728601,0.247133714363941,"RNF38","ring finger protein 38","Control","RNF38@Control",1
0.1402013291086,0.0131789249362084,0.0447522642514651,0.171690547626391,0.25171746628158,0.159016347474974,0.219443120320781,"OR2D3","olfactory receptor family 2 subfamily D member 3","Control","OR2D3@Control",1
0.172872800193618,0.0325346609964388,0.0479549147737095,0.252912906683262,0.184386128686512,0.0209176088234277,0.288420979843031,"ZNF74","zinc finger protein 74","Control","ZNF74@Control",1
0.159296546450873,0.00251688543392379,0.0296291576398624,0.272556390977444,0.187842487574869,0.120141455333248,0.22801707658978,"FGD1","FYVE, RhoGEF and PH domain containing 1","Control","FGD1@Control",1
0.151359205666889,0.00553974692740813,0.132166858388327,0.203305685051765,0.294181752134165,0.0493733728885391,0.164073378942907,"TEN1","TEN1, CST complex subunit","Control","TEN1@Control",1
0.17690974065032,0.0550189293422496,0.0164879878286098,0.303011003785868,0.164349149064147,0.0363018787814457,0.247921310547359,"SLC22A5","solute carrier family 22 member 5","Control","SLC22A5@Control",1
0.154669471339747,0.127416710489684,0.0357905156680174,0.211061960590219,0.24227425990658,0.00528969591981935,0.223497386085934,"HARBI1","harbinger transposase derived 1","Control","HARBI1@Control",1
0.158297980117774,0.0525232698030773,0.0810485658203001,0.12255429620718,0.286044450072817,0.0989995567656557,0.200531881213196,"RLN2","relaxin 2","Control","RLN2@Control",1
0.169457059581102,0.131871483766014,0.112858401681014,0.143157323934115,0.180166745746628,0.0464651257371382,0.216023859553989,"RSAD1","radical S-adenosyl methionine domain containing 1","Control","RSAD1@Control",1
0.137453265889598,0.136793490213327,0.135226522982186,0.162414778975148,0.158071255773037,0.0282054101605454,0.241835276006158,"TRIM37","tripartite motif containing 37","Control","TRIM37@Control",1
0.137068918252097,0.15099512034651,0.0749766982838972,0.142908054169636,0.256154394429519,0.0385711935961401,0.1993256209222,"WWOX","WW domain containing oxidoreductase","Control","WWOX@Control",1
0.177028749468914,0.024606996176179,0.141127319076618,0.206026058631922,0.176108199971675,0.0254921399235236,0.249610536751168,"OR6F1","olfactory receptor family 6 subfamily F member 1","Control","OR6F1@Control",1
0.132159754711495,0.110247667380329,0.0109956915919964,0.259403166547723,0.214045938730738,0.0417624824888325,0.231385298548886,"LINGO2","leucine rich repeat and Ig domain containing 2","Control","LINGO2@Control",1
0.185590735310493,0.0981032626851268,0.0924984224787499,0.125199510040459,0.196243643517316,0.00605025797112208,0.296314167996734,"PTF1A","pancreas specific transcription factor, 1a","Stimulus1","PTF1A@Stimulus1",1
0.10851871947911,0.0668041237113402,0.0706456863809007,0.192946283233858,0.204905046120456,0.14482908301682,0.211351058057515,"NCOA7","nuclear receptor coactivator 7","Stimulus1","NCOA7@Stimulus1",1
0.176878449129758,0.0287958115183246,0.118367058157634,0.169237300127352,0.157598698174614,0.0204117730295741,0.328710909862742,"NSUN6","NOP2/Sun RNA methyltransferase family member 6","Stimulus1","NSUN6@Stimulus1",1
0.2124675986912,0.0246887349679174,0.0413461947053074,0.0842221561211915,0.382399184124421,0.00565163812518591,0.249224493264777,"IER2","immediate early response 2","Stimulus1","IER2@Stimulus1",1
0.21028725238676,0.0374311309248433,0.0475669764898852,0.0414265887201918,0.231946839382597,0.0496277915632754,0.381713420532447,"OR4F4","olfactory receptor family 4 subfamily F member 4","Stimulus1","OR4F4@Stimulus1",1
0.160215329402717,0.026179184824404,0.17748654191233,0.215137144321969,0.19575108946424,0.0142591643168418,0.210971545757498,"SYNM","synemin","Stimulus1","SYNM@Stimulus1",1
0.130917469627147,0.0776078759949728,0.0694386258902388,0.255655634687893,0.185562421449518,0.040610599078341,0.240207373271889,"AFTPH","aftiphilin","Stimulus1","AFTPH@Stimulus1",1
0.110918851768046,0.15832556901371,0.0703669195616487,0.182838635254448,0.193131904698523,0.0724300102045344,0.21198810949909,"SPOCK2","SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2","Stimulus1","SPOCK2@Stimulus1",1
0.158851188206888,0.092228999872919,0.0148684712161647,0.128669462447579,0.311602490786631,0.0369487863769221,0.256830601092896,"AGO1","argonaute 1, RISC catalytic component","Stimulus1","AGO1@Stimulus1",1
0.188345199080875,0.00606471541040419,0.0827965495159528,0.168229931819038,0.149960447508193,0.0827588804761367,0.3218442761894,"MEIKIN","meiotic kinetochore factor","Stimulus1","MEIKIN@Stimulus1",1
0.136317784018103,0.0304533929496442,0.0423130401592192,0.246380762834319,0.170642602033861,0.137462853403855,0.236429564600998,"CTU1","cytosolic thiouridylase subunit 1","Stimulus1","CTU1@Stimulus1",1
0.221072644470973,0.0733961179643631,0.00703011009417695,0.0567272405712517,0.158553300614582,0.0823716673298846,0.400848918954769,"SMIM20","small integral membrane protein 20","Stimulus1","SMIM20@Stimulus1",1
0.198830874458186,0.0359088559271484,0.017536883127212,0.329582057501889,0.219469519226946,0.029705332644053,0.168966477114566,"CYFIP1","cytoplasmic FMR1 interacting protein 1","Stimulus1","CYFIP1@Stimulus1",1
0.122753608956103,0.0757144260041245,0.13677207109889,0.18724835510164,0.206324265933418,0.0477020524403417,0.223485220465482,"DNAAF4","dynein axonemal assembly factor 4","Stimulus1","DNAAF4@Stimulus1",1
0.151496788268089,0.0433886801599806,0.138892255484184,0.216761604653981,0.247121561022906,0.0426008968609866,0.159738213549873,"RHCG","Rh family C glycoprotein","Stimulus1","RHCG@Stimulus1",1
0.167302415846885,0.0331927993040219,0.0713712106002811,0.258013785719066,0.143813156661982,0.0257311115572509,0.300575520310513,"WDR31","WD repeat domain 31","Stimulus2","WDR31@Stimulus2",1
0.127528247506823,0.062335807381335,0.0634325503098936,0.229856913306297,0.226107582829597,0.0760323411635677,0.214706557502487,"CDC42BPB","CDC42 binding protein kinase beta","Stimulus2","CDC42BPB@Stimulus2",1
0.130476762088672,0.0482242112679732,0.123770256517314,0.128963231648443,0.251976722945643,0.0808694971425589,0.235719318389395,"OR2D3","olfactory receptor family 2 subfamily D member 3","Stimulus2","OR2D3@Stimulus2",1
0.139209844920233,0.035275774702787,0.129938469248545,0.153993930450761,0.180833588551382,0.109920093549016,0.250828298577275,"CBARP","CACN beta subunit associated regulatory protein","Stimulus2","CBARP@Stimulus2",1
0.156705425141818,0.0276114959099884,0.0704861002287899,0.196790672893096,0.203090230983797,0.0398031779860219,0.305512896856489,"CCDC42","coiled-coil domain containing 42","Stimulus2","CCDC42@Stimulus2",1
0.193244183350081,0.0970858777150808,0.109028368246116,0.108062147329365,0.121202751797171,0.0349771971863647,0.336399474375821,"ESPL1","extra spindle pole bodies like 1, separase","Stimulus2","ESPL1@Stimulus2",1
0.16692818749374,0.107401595833472,0.0974192902213468,0.166227089106266,0.23413347577872,0.030080459386372,0.197809902180082,"HIBCH","3-hydroxyisobutyryl-CoA hydrolase","Stimulus2","HIBCH@Stimulus2",1
0.122303214128467,0.113472922068392,0.0263685729660976,0.199085171958319,0.242943104544787,0.0986008512303704,0.197226163103566,"DUSP4","dual specificity phosphatase 4","Stimulus2","DUSP4@Stimulus2",1
0.121799712552678,0.0973666902146111,0.113955811064286,0.165720688899174,0.200750286229325,0.0645538476529195,0.235852963387006,"ADH7","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","Stimulus2","ADH7@Stimulus2",1
0.150249414027285,6.00997656109141e-05,0.139611755514154,0.144690185708276,0.29091291543963,0.0156259390588377,0.258849690486207,"GPR171","G protein-coupled receptor 171","Stimulus2","GPR171@Stimulus2",1
0.170928483522494,0.0384247230958567,0.0789005879939833,0.184534390810885,0.198379597976207,0.0629016819362779,0.265930534664296,"TRIM6-TRIM34","TRIM6-TRIM34 readthrough","Stimulus2","TRIM6-TRIM34@Stimulus2",1
0.115751458468377,0.0619270302805815,0.121307528474859,0.191753866098713,0.153555884804149,0.127396055190295,0.228308176683026,"GEMIN5","gem nuclear organelle associated protein 5","Stimulus2","GEMIN5@Stimulus2",1
0.11412398429654,0.0619008490824432,0.0726513284031772,0.224961197845339,0.199557198940929,0.150529535287136,0.176275906144435,"ACVR1B","activin A receptor type 1B","Stimulus2","ACVR1B@Stimulus2",1
0.147754137115839,0.126063829787234,0.00292553191489362,0.157594562647754,0.281028368794326,0.0206264775413712,0.264007092198582,"CYFIP1","cytoplasmic FMR1 interacting protein 1","Stimulus2","CYFIP1@Stimulus2",1
0.171526586620926,0.00826758147512864,0.0113893653516295,0.248130360205832,0.238593481989708,0.106895368782161,0.215197255574614,"MGAM","maltase-glucoamylase","Stimulus2","MGAM@Stimulus2",1
0.139711635184978,0.105202861294289,0.0710852799821169,0.167933385492344,0.13820274952498,0.107102939532804,0.270761148988488,"REEP5","receptor accessory protein 5","Stimulus2","REEP5@Stimulus2",1
0.126265814793303,0.00982348039091896,0.168110305815803,0.184171317457512,0.209980050001263,0.0520972751837168,0.249551756357484,"SDHAF2","succinate dehydrogenase complex assembly factor 2","Stimulus2","SDHAF2@Stimulus2",1
0.183452577508714,0.0312970097229866,0.122436250229316,0.259108420473308,0.193138873601174,0.0337185837461016,0.1768482847184,"ID1","inhibitor of DNA binding 1, HLH protein","Stimulus2","ID1@Stimulus2",1
0.16639488834903,0.0356417850843622,0.0417983959532763,0.199141402376119,0.21784418782655,0.0168724416785916,0.322306898732071,"FOXI2","forkhead box I2","Stimulus2","FOXI2@Stimulus2",1
0.198617621355367,0.104472868832923,0.0805593072217367,0.0316993723683165,0.27870024628585,0.292404862159371,0.013545721776436,"TTC30A","tetratricopeptide repeat domain 30A","Control","TTC30A@Control",2
0.171963131104691,0.015614252304306,0.20563351217499,0.084089971110194,0.297874535699546,0.194455908653185,0.0303686889530885,"LEKR1","leucine, glutamate and lysine rich 1","Control","LEKR1@Control",2
0.188487201719003,0.0403362611678667,0.126927281637577,0.142307837297847,0.314095072944547,0.100312888754854,0.0875334564783051,"NSUN6","NOP2/Sun RNA methyltransferase family member 6","Control","NSUN6@Control",2
0.179314302108736,0.0350738774924688,0.157545545832736,0.0382298092095826,0.241034284894563,0.273023956390762,0.0757782240711519,"IER2","immediate early response 2","Control","IER2@Control",2
0.171379605826907,0.10649528706084,0.091688089117395,0.0101113967437875,0.263204798628963,0.273590402742074,0.0835304198800343,"CTTN","cortactin","Control","CTTN@Control",2
0.196193839513439,0.0517559348636453,0.0409260349225034,0.0247989013144987,0.344241710810281,0.326388071414558,0.0156955071610751,"SSSCA1","Sjogren syndrome/scleroderma autoantigen 1","Control","SSSCA1@Control",2
0.150593337750738,0.147129690982471,0.114691886030962,0.0408409131980001,0.260375880971026,0.253749774109993,0.0326185169568098,"EBLN1","endogenous Bornavirus-like nucleoprotein 1","Control","EBLN1@Control",2
0.177853662006901,0.0178209369330915,0.150072920001423,0.099277914132252,0.341194465194038,0.14793867605734,0.0658414256749546,"PCSK9","proprotein convertase subtilisin/kexin type 9","Control","PCSK9@Control",2
0.185480580183255,0.160143932930222,0.137589494379938,0.0149126386467337,0.232221686389435,0.250843936639834,0.018807730830582,"B3GNT8","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8","Control","B3GNT8@Control",2
0.220653133274492,0.0720653133274493,0.115887025595763,0.0276257722859665,0.436187113857017,0.125728155339806,0.00185348631950574,"NKIRAS1","NFKB inhibitor interacting Ras like 1","Control","NKIRAS1@Control",2
0.222637812806127,0.0548134295128685,0.0330394514204292,0.153130287648054,0.339878885029833,0.104684299581441,0.0918158340012468,"FAM91A1","family with sequence similarity 91 member A1","Stimulus1","FAM91A1@Stimulus1",2
0.28602482695498,0.0104685086665523,0.0449631027973228,0.152966077455523,0.414564384188548,0.0802585664435673,0.0107545334935072,"MYLIP","myosin regulatory light chain interacting protein","Stimulus1","MYLIP@Stimulus1",2
0.161352781721957,0.0590873886665806,0.159287466115916,0.0509229379114496,0.230508583967988,0.306021685813863,0.032819155802246,"SNURF","SNRPN upstream reading frame","Stimulus1","SNURF@Stimulus1",2
